Vehicle,Confidance,Number Plate,capacity,Threshold,Zone,Time
car,0.8,DL1N3219,40-70,40-70,29-02-2024 11:46,Red
auto,0.96,GA02T2357,(8-16),1,Red,29-02-2024 11:42
heavy truck,0.91,KA25B3155,300-600,1,Red,29-02-2024 11:59
tractor,0.87,BR24GB6934,45-65,1,Red,29-02-2024 12:03
container,0.95,AP03TB8568,800-6000,1,Red,29-02-2024 12:07
car,0.75,WB110B429,40-70,1,Red,29-02-2024 12:14
van,0.55,WB55A8416,35-60,1,Red,29-02-2024 12:15
van,0.66,P28TA1324,35-60,1,Red,29-02-2024 12:16
mini truck,0.93,PY01CS9900,70-105,1,Red,29-02-2024 12:18
container,0.95,E65RA9601,800-6000,1,Red,29-02-2024 12:23
,,,,,,
bus,0.95,KA09FAA83,250-700,1,Red,29-02-2024 12:42
bus,0.93,PY01CK2494,250-700,1,Red,29-02-2024 12:50
bus,0.92,WB052289,250-700,1,Red,29-02-2024 12:56
