Vehicle,Number Plate,Visit Count,Zone,Time
truck,DL1N3219,9,Red,2024-02-08 12:50:47
car,LD9N9,1,Red,2024-02-08 12:56:37
car,LO1FS1,1,Red,2024-02-08 12:57:26
car,T492C56,98,Yellow,2024-02-08 13:21:00
auto,TN72AY5778,22,Yellow,2024-02-08 15:37:44
auto,TN72AX5778,5,Red,2024-02-13 10:34:55
auto,AP03TD5060,1,Red,2024-02-13 15:46:14
car,D09L927,1,Red,2024-02-13 15:49:01
auto,UPAAXY1567,4,Red,2024-02-13 15:54:52
auto,UPAAY1567,1,Red,2024-02-13 16:16:44
auto,0L4R9532,1,Red,2024-02-13 16:19:07
auto,062725,1,Red,2024-02-13 16:20:34
motorcycle,0H6219,1,Red,2024-02-13 16:24:12
motorcycle,0L5S5629,1,Red,2024-02-13 16:24:13
auto,HA053764,1,Red,2024-02-13 16:26:52
bus,0003F8755,1,Red,2024-02-13 16:31:32
auto,UB4T872G,2,Red,2024-02-13 16:36:44
auto,UPB4T872G,2,Red,2024-02-13 16:41:16
auto,TN87A3544,1,Red,2024-02-13 16:47:54
truck,1M1MMM1,1,Red,2024-02-19 11:44:25
motorcycle,M1I4093,2,Red,2024-02-19 16:47:23
motorcycle,M11409,2,Red,2024-02-19 16:47:24
motorcycle,M1I4096,2,Red,2024-02-19 16:47:26
motorcycle,M11I40,2,Red,2024-02-19 16:47:27
motorcycle,M11C4095,2,Red,2024-02-19 16:47:28
motorcycle,M40891,2,Red,2024-02-19 16:47:29
motorcycle,M14094,4,Red,2024-02-19 16:50:23
motorcycle,M11CI409,2,Red,2024-02-19 16:50:38
motorcycle,M40871,2,Red,2024-02-19 16:50:39
motorcycle,M1I140,2,Red,2024-02-19 16:52:14
motorcycle,M14089,4,Red,2024-02-19 16:53:59
motorcycle,M114091,2,Red,2024-02-19 16:54:26
motorcycle,M1108,2,Red,2024-02-19 16:54:32
auto,UJ0911B,2,Red,2024-02-19 16:54:34
motorcycle,M140921,2,Red,2024-02-19 16:54:37
motorcycle,M1I14091,2,Red,2024-02-19 16:54:38
motorcycle,M1114092,2,Red,2024-02-19 16:54:40
motorcycle,M110961,2,Red,2024-02-19 16:58:04
motorcycle,M114095,2,Red,2024-02-19 17:01:05
auto,U095B,1,Red,2024-02-23 15:00:22
car,B0941,1,Red,2024-02-23 15:01:42
car,1094B,1,Red,2024-02-23 15:02:00
motorcycle,M14095,1,Red,2024-02-23 15:05:40
auto,A030506,43,Yellow,2024-02-26 11:47:38
car,P17T9650,31,Yellow,2024-02-26 11:49:47
car,UP17T9650,51,Yellow,2024-02-26 11:57:41
car,KL52P3003,1,Red,2024-02-27 12:12:44
car,MH01BK4112,1,Red,2024-02-27 12:15:26
motorcycle,MM03EM9400,1,Red,2024-02-27 12:19:27
tractor,P38988,2,Red,2024-02-28 12:55:22
car,GJO3ER0563,5,Red,2024-02-28 16:21:34
